Region,LAWA Site ID,Site name,Estuary name,Date sampled ,Indicator,Units,Indicator value,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2020/01/01,Macrofauna,N/A,2.31,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2019/01/01,Arsenic,mg/kg,5.1,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2019/01/01,Copper,mg/kg,1.1,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2019/01/01,Lead,mg/kg,1.5,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2019/01/01,Mercury,mg/kg,<ALD,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2019/01/01,Zinc,mg/kg,17,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2019/01/01,Mud_content,%,0.3,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2019/01/01,Macrofauna,N/A,1.94,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2014/01/01,Mud_content,%,0.5,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2013/01/01,Mud_content,%,0.5,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2013/01/01,Macrofauna,N/A,2.34,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2012/01/01,Mud_content,%,0.3,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2012/01/01,Macrofauna,N/A,2.20,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2011/01/01,Mud_content,%,0.3,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2011/01/01,Macrofauna,N/A,2.00,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2010/01/01,Mud_content,%,0.2,,,,,,,,
