term,estimate,std.error,statistic,p.value,model,effect
year:inside_mpaOutside MPA:bioregionTemperate Southern,5.761328329,2.854053503,2.018647626,0.043692085,lm_cover_pct,NA
year:inside_mpaOutside MPA:bioregionTropical Atlantic,0.121088262,3.661217101,0.033073226,0.97362036,lm_cover_pct,NA
year:inside_mpaOutside MPA:bioregionTropical Indo Pacific,1.022299508,2.85992161,0.357457178,0.720797198,lm_cover_pct,NA
(Intercept),2035.773856,969.3190254,2.100210357,NA,lmm_bioabove,fixed
year,-0.654864762,0.481495652,-1.360063706,NA,lmm_bioabove,fixed
inside_mpaOutside MPA,-6775.699001,1206.386842,-5.616522632,NA,lmm_bioabove,fixed
GenusCymodocea,-625.128251,30.63081893,-20.40847332,NA,lmm_bioabove,fixed
GenusEnhalus,-562.7635291,32.06553926,-17.55041525,NA,lmm_bioabove,fixed
GenusHalodule,-689.9427307,31.29127135,-22.04904758,NA,lmm_bioabove,fixed
GenusHalophila,-670.7569032,30.90592445,-21.703182,NA,lmm_bioabove,fixed
GenusPhyllospadix,-158.8884055,41.50708952,-3.827982335,NA,lmm_bioabove,fixed
GenusPosidonia,-480.9110207,30.0490989,-16.00417445,NA,lmm_bioabove,fixed
GenusRuppia,-702.3235669,32.0008078,-21.94705744,NA,lmm_bioabove,fixed
GenusSyringodium,-635.4796649,32.65990687,-19.45748552,NA,lmm_bioabove,fixed
GenusThalassia,-595.708455,30.7980335,-19.34241857,NA,lmm_bioabove,fixed
GenusThalassodendron,-516.6015331,35.27466174,-14.64511657,NA,lmm_bioabove,fixed
GenusZostera,-641.5152355,29.79317411,-21.53228901,NA,lmm_bioabove,fixed
year:inside_mpaOutside MPA,3.376250668,0.600656394,5.620935195,NA,lmm_bioabove,fixed
(Intercept),15147.80201,3694.579613,4.100006928,NA,lmm_biotot,fixed
year,-7.364443206,1.835433253,-4.012373206,NA,lmm_biotot,fixed
inside_mpaOutside MPA,-30391.13995,4967.813463,-6.11760892,NA,lmm_biotot,fixed
GenusEnhalus,877.8513005,43.32616974,20.26145643,NA,lmm_biotot,fixed
GenusHalodule,-237.1545028,31.43124869,-7.545182347,NA,lmm_biotot,fixed
GenusHalophila,-208.6875223,30.24990214,-6.898783387,NA,lmm_biotot,fixed
GenusPhyllospadix,675.0859695,100.6666534,6.706152896,NA,lmm_biotot,fixed
GenusPosidonia,838.9687578,98.06751225,8.555012139,NA,lmm_biotot,fixed
GenusRuppia,-484.3873242,47.11622347,-10.28069078,NA,lmm_biotot,fixed
GenusSyringodium,-32.56653763,40.96086762,-0.795064644,NA,lmm_biotot,fixed
GenusThalassia,369.1540889,29.53921651,12.49708464,NA,lmm_biotot,fixed
GenusThalassodendron,573.3313617,84.44512991,6.789395224,NA,lmm_biotot,fixed
GenusZostera,-150.8040673,29.46350933,-5.118333517,NA,lmm_biotot,fixed
year:inside_mpaOutside MPA,15.17559268,2.47134588,6.140618682,NA,lmm_biotot,fixed
(Intercept),-340443.9707,28873.47446,-11.79089032,NA,lmm_stdense,fixed
year,171.1696318,14.34592475,11.93158579,NA,lmm_stdense,fixed
inside_mpaOutside MPA,337566.6312,37722.38118,8.94870951,NA,lmm_stdense,fixed
GenusCymodocea,-151.7602351,773.5062687,-0.196197809,NA,lmm_stdense,fixed
GenusEnhalus,-1256.898664,888.969611,-1.413882599,NA,lmm_stdense,fixed
GenusHalodule,2550.806731,818.3790656,3.116901248,NA,lmm_stdense,fixed
GenusHalophila,-339.1780486,787.0508161,-0.430948093,NA,lmm_stdense,fixed
GenusPhyllospadix,5688.422744,1207.93941,4.709195425,NA,lmm_stdense,fixed
GenusPosidonia,-860.5451406,769.4630276,-1.118371006,NA,lmm_stdense,fixed
GenusRuppia,5236.494846,1015.242492,5.157875963,NA,lmm_stdense,fixed
GenusSyringodium,34.48829677,879.4792139,0.039214454,NA,lmm_stdense,fixed
GenusThalassia,-566.2938373,784.8928149,-0.721491937,NA,lmm_stdense,fixed
GenusThalassodendron,356.7710843,961.0479938,0.371231288,NA,lmm_stdense,fixed
GenusZostera,169.7526248,757.1131624,0.224210373,NA,lmm_stdense,fixed
year:inside_mpaOutside MPA,-169.0144088,18.7718242,-9.003621968,NA,lmm_stdense,fixed
(Intercept),-1697.75144,424.761956,-3.996947975,NA,lmm_prod_tot,fixed
year,0.849795466,0.212627296,3.996643341,NA,lmm_prod_tot,fixed
inside_mpaOutside MPA,1725.301861,435.832167,3.958638189,NA,lmm_prod_tot,fixed
GenusEnhalus,0.003337611,2.328343657,0.00143347,NA,lmm_prod_tot,fixed
GenusHalodule,-0.253879133,1.413497421,-0.179610609,NA,lmm_prod_tot,fixed
GenusHalophila,-0.159274321,2.210138203,-0.072065322,NA,lmm_prod_tot,fixed
GenusPhyllospadix,30.62369003,2.066575435,14.81856869,NA,lmm_prod_tot,fixed
GenusPosidonia,-6.009426517,2.405425421,-2.498280123,NA,lmm_prod_tot,fixed
GenusThalassia,1.266302118,1.595454905,0.793693457,NA,lmm_prod_tot,fixed
GenusThalassodendron,0.428411869,1.880292686,0.227843182,NA,lmm_prod_tot,fixed
GenusZostera,-0.205307704,1.413497421,-0.145248022,NA,lmm_prod_tot,fixed
year:inside_mpaOutside MPA,-0.863604046,0.217997599,-3.961530084,NA,lmm_prod_tot,fixed
(Intercept),-9967.393713,1958.166549,-5.090166472,NA,lmm_prod_shoot,fixed
year,4.973750273,0.977126922,5.090178321,NA,lmm_prod_shoot,fixed
inside_mpaOutside MPA,-3.815583604,6.025767366,-0.633211236,NA,lmm_prod_shoot,fixed
GenusHalodule,-0.48,2.256577903,-0.212711469,NA,lmm_prod_shoot,fixed
GenusPhyllospadix,54.42625227,10.08962356,5.394279772,NA,lmm_prod_shoot,fixed
GenusZostera,33.84221743,9.061586116,3.734690263,NA,lmm_prod_shoot,fixed
(Intercept),-414.6826909,641.0912908,-0.646838753,NA,lmm_prod_leaf,fixed
year,0.20649921,0.319373149,0.646576614,NA,lmm_prod_leaf,fixed
inside_mpaOutside MPA,1959.188159,660.5364465,2.966056103,NA,lmm_prod_leaf,fixed
GenusEnhalus,-1.678305044,4.547045031,-0.36909796,NA,lmm_prod_leaf,fixed
GenusHalodule,-0.281859217,7.182015126,-0.039245144,NA,lmm_prod_leaf,fixed
GenusHalophila,30.58177587,14.4306812,2.119219145,NA,lmm_prod_leaf,fixed
GenusPhyllospadix,-6.269076922,7.084514311,-0.884898618,NA,lmm_prod_leaf,fixed
GenusPosidonia,2.381116974,5.51464125,0.431780939,NA,lmm_prod_leaf,fixed
GenusThalassia,-0.628374261,3.562571257,-0.17638223,NA,lmm_prod_leaf,fixed
GenusThalassodendron,-8.967149749,5.454490639,-1.643993975,NA,lmm_prod_leaf,fixed
GenusZostera,-2.594846053,5.626030506,-0.461221469,NA,lmm_prod_leaf,fixed
year:inside_mpaOutside MPA,-0.974431733,0.329290349,-2.95918704,NA,lmm_prod_leaf,fixed
(Intercept),1321.768284,859.8075885,1.537283808,NA,lmm_cover_pct,fixed
year,-0.632781061,0.427377954,-1.480612312,NA,lmm_cover_pct,fixed
inside_mpaOutside MPA,-603.3044881,919.4886374,-0.656130444,NA,lmm_cover_pct,fixed
GenusCymodocea,-2.453126347,13.55134273,-0.181024596,NA,lmm_cover_pct,fixed
GenusEnhalus,3.769423217,14.26236175,0.264291657,NA,lmm_cover_pct,fixed
GenusHalodule,-15.22448329,13.75532601,-1.106806431,NA,lmm_cover_pct,fixed
GenusHalophila,-4.041663513,13.61764725,-0.296796021,NA,lmm_cover_pct,fixed
GenusPhyllospadix,-10.59407883,17.63725931,-0.600664686,NA,lmm_cover_pct,fixed
GenusPosidonia,8.427279147,14.55733477,0.578902614,NA,lmm_cover_pct,fixed
GenusRuppia,-25.48642524,14.79146171,-1.723049807,NA,lmm_cover_pct,fixed
GenusSyringodium,-6.926835574,13.9942799,-0.494976206,NA,lmm_cover_pct,fixed
GenusThalassia,-2.094338689,13.66337518,-0.153281211,NA,lmm_cover_pct,fixed
GenusThalassodendron,24.85779316,17.31244352,1.435833892,NA,lmm_cover_pct,fixed
GenusZostera,-4.115998653,14.25834053,-0.28867305,NA,lmm_cover_pct,fixed
year:inside_mpaOutside MPA,0.298467697,0.456658069,0.653591204,NA,lmm_cover_pct,fixed
