Council/Agency,Region,Site name,Estuary name,Latitude,Longitude,Date sampled ,Indicator,Units,Indicator value
Auckland Council,Auckland,MNG9,Mangemangeroa,-36.91463331,174.9488166,1/01/2010,Macrofauna,N/A,5.09
Auckland Council,Auckland,MNG3,Mangemangeroa,-36.911,174.9555167,1/01/2022,Mud_content,%,10.9
Auckland Council,Auckland,MNG5,Mangemangeroa,-36.91094996,174.9538833,1/01/2022,Mud_content,%,29.7
Auckland Council,Auckland,MNG6,Mangemangeroa,-36.91131667,174.9534167,1/01/2022,Mud_content,%,27.3
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2021,Arsenic,mg/kg,10.9
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2021,Copper,mg/kg,14.6
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2021,Lead,mg/kg,19.9
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2021,Mercury,mg/kg,0.05
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2021,Zinc,mg/kg,141
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2021,Mud_content,%,93.6
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2021,Macrofauna,N/A,5.34
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2018,Arsenic,mg/kg,10.5
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2018,Copper,mg/kg,15.2
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2018,Lead,mg/kg,19.7
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2018,Mercury,mg/kg,0.05
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2018,Zinc,mg/kg,152
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2018,Mud_content,%,81.9
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2018,Macrofauna,N/A,5.46
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2016,Arsenic,mg/kg,9.9
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2016,Copper,mg/kg,17.7
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2016,Lead,mg/kg,25.4
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2016,Mercury,mg/kg,0.07
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2016,Zinc,mg/kg,134
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2016,Mud_content,%,75.6
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2016,Macrofauna,N/A,5.36
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2013,Mud_content,%,87.7
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2013,Arsenic,mg/kg,10.7
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2013,Copper,mg/kg,17.8
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2013,Lead,mg/kg,23
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2013,Mercury,mg/kg,0.07
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2013,Zinc,mg/kg,128
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2013,Macrofauna,N/A,5.55
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2011,Mud_content,%,89.5
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2011,Copper,mg/kg,23
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2011,Lead,mg/kg,26.7
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2011,Zinc,mg/kg,152
Auckland Council,Auckland,Anns Creek,Manukau Harbour,-36.9298307,174.822102,1/01/2011,Macrofauna,N/A,5.8
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2021,Mud_content,%,2.1
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2021,Macrofauna,N/A,2.61
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2020,Mud_content,%,1.6
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2020,Macrofauna,N/A,2.22
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2019,Mud_content,%,1.3
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2019,Macrofauna,N/A,1.85
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2018,Mud_content,%,1.1
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2018,Macrofauna,N/A,2.42
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2017,Mud_content,%,1.1
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2017,Macrofauna,N/A,1.9
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2016,Mud_content,%,0.9
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2016,Macrofauna,N/A,2.08
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2015,Mud_content,%,0.6
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2015,Macrofauna,N/A,1.92
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2014,Mud_content,%,0.7
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2014,Macrofauna,N/A,2.26
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2013,Mud_content,%,1
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2013,Macrofauna,N/A,2.01
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2012,Mud_content,%,0.9
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2012,Macrofauna,N/A,1.95
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2011,Mud_content,%,0.8
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2011,Macrofauna,N/A,2.19
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2010,Mud_content,%,0.6
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2010,Macrofauna,N/A,1.43
Auckland Council,Auckland,Auckland Airport,Manukau Harbour,-37.01740731,174.8200553,1/01/2022,Mud_content,%,3.6
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2021,Arsenic,mg/kg,12.5
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2021,Copper,mg/kg,8.5
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2021,Lead,mg/kg,9.5
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2021,Mercury,mg/kg,0.03
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2021,Zinc,mg/kg,61
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2021,Macrofauna,N/A,4.63
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2018,Arsenic,mg/kg,12.1
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2018,Copper,mg/kg,8.6
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2018,Lead,mg/kg,9.3
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2018,Mercury,mg/kg,0.04
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2018,Zinc,mg/kg,64
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2018,Mud_content,%,78.6
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2018,Macrofauna,N/A,4.64
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2013,Arsenic,mg/kg,13.8
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2013,Copper,mg/kg,9.5
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2013,Lead,mg/kg,10.3
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2013,Mercury,mg/kg,0.04
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2013,Zinc,mg/kg,61
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2013,Mud_content,%,76.4
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2011,Copper,mg/kg,9.9
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2011,Lead,mg/kg,10.1
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2011,Zinc,mg/kg,60
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2011,Mud_content,%,73.9
Auckland Council,Auckland,Big Muddy,Manukau Harbour,-36.97371499,174.6195035,1/01/2011,Macrofauna,N/A,4.69
Auckland Council,Auckland,Big Muddy ,Manukau Harbour,-36.97371499,174.6195035,1/01/2021,Mud_content,%,80.9
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2021,Arsenic,mg/kg,7.4
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2021,Copper,mg/kg,3.9
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2021,Lead,mg/kg,9.8
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2021,Mercury,mg/kg,<ALD
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2021,Zinc,mg/kg,58
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2021,Mud_content,%,30.6
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2021,Macrofauna,N/A,2.49
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2018,Arsenic,mg/kg,7
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2018,Copper,mg/kg,4.7
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2018,Lead,mg/kg,10.6
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2018,Mercury,mg/kg,<ALD
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2018,Zinc,mg/kg,63
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2018,Mud_content,%,4
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2018,Macrofauna,N/A,2.91
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2013,Arsenic,mg/kg,7.7
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2013,Copper,mg/kg,5.4
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2013,Lead,mg/kg,13.1
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2013,Mercury,mg/kg,0.02
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2013,Zinc,mg/kg,67
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2013,Mud_content,%,5.4
Auckland Council,Auckland,Blockhouse Bay,Manukau Harbour,-36.92913881,174.7098373,1/01/2013,Macrofauna,N/A,3.22
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2021,Arsenic,mg/kg,11.8
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2021,Copper,mg/kg,7.7
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2021,Lead,mg/kg,11.7
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2021,Mercury,mg/kg,0.04
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2021,Zinc,mg/kg,74
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2021,Mud_content,%,73
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2021,Macrofauna,N/A,5.4
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2019,Arsenic,mg/kg,12.6
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2019,Copper,mg/kg,9.4
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2019,Lead,mg/kg,12.8
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2019,Mercury,mg/kg,0.04
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2019,Zinc,mg/kg,86
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2019,Mud_content,%,83.8
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2019,Macrofauna,N/A,4.9
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2017,Arsenic,mg/kg,13.1
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2017,Copper,mg/kg,7.8
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2017,Lead,mg/kg,11.2
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2017,Mercury,mg/kg,0.04
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2017,Zinc,mg/kg,72
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2017,Mud_content,%,91
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2017,Macrofauna,N/A,5.53
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2015,Arsenic,mg/kg,12.7
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2015,Copper,mg/kg,8.6
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2015,Lead,mg/kg,13.1
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2015,Mercury,mg/kg,0.04
Auckland Council,Auckland,Bottle Top Bay,Manukau Harbour,-37.07072229,174.9059459,1/01/2015,Zinc,mg/kg,70
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2020,Mud_content,%,0.6
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2020,Macrofauna,N/A,2.24
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2019,Mud_content,%,0.9
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2019,Macrofauna,N/A,2.53
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2018,Mud_content,%,0.5
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2018,Macrofauna,N/A,2.5
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2017,Mud_content,%,0.3
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2017,Macrofauna,N/A,2.44
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2016,Mud_content,%,0.7
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2016,Macrofauna,N/A,2.19
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2015,Mud_content,%,1.5
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2015,Macrofauna,N/A,2.43
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2014,Mud_content,%,2.4
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2014,Macrofauna,N/A,2.33
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2013,Mud_content,%,4.4
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2013,Macrofauna,N/A,2.83
Auckland Council,Auckland,Cape Horn,Manukau Harbour,-36.95729476,174.67392,1/01/2010,Mud_content,%,0.4
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2021,Mud_content,%,4.6
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2021,Macrofauna,N/A,2.82
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2020,Mud_content,%,5.7
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2020,Macrofauna,N/A,2.97
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2019,Mud_content,%,5.3
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2019,Macrofauna,N/A,3.02
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2018,Mud_content,%,3.7
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2018,Macrofauna,N/A,3.02
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2017,Mud_content,%,6
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2017,Macrofauna,N/A,2.84
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2016,Mud_content,%,5.3
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2016,Macrofauna,N/A,2.8
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2015,Mud_content,%,3.4
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2015,Macrofauna,N/A,3.07
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2014,Mud_content,%,14.8
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2014,Macrofauna,N/A,2.93
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2013,Mud_content,%,3.3
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2013,Macrofauna,N/A,2.51
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2012,Mud_content,%,3.2
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2012,Macrofauna,N/A,2.2
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2011,Mud_content,%,7.9
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2011,Macrofauna,N/A,2.8
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2010,Mud_content,%,9
Auckland Council,Auckland,Clarks Beach,Manukau Harbour,-37.12254034,174.7026979,1/01/2010,Macrofauna,N/A,2.61
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2021,Arsenic,mg/kg,8.8
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2021,Copper,mg/kg,3.4
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2021,Lead,mg/kg,6.7
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2021,Mercury,mg/kg,0.02
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2021,Zinc,mg/kg,49
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2021,Mud_content,%,30.5
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2021,Macrofauna,N/A,5.06
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2019,Arsenic,mg/kg,8
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2019,Copper,mg/kg,3.6
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2019,Lead,mg/kg,6.5
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2019,Mercury,mg/kg,0.02
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2019,Zinc,mg/kg,49
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2019,Mud_content,%,26.2
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2019,Macrofauna,N/A,5.37
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2017,Arsenic,mg/kg,9.4
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2017,Copper,mg/kg,4.3
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2017,Lead,mg/kg,7.6
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2017,Mercury,mg/kg,0.03
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2017,Zinc,mg/kg,55
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2017,Mud_content,%,35.7
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2017,Macrofauna,N/A,4.94
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2015,Arsenic,mg/kg,9.4
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2015,Copper,mg/kg,4.3
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2015,Lead,mg/kg,7.9
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2015,Mercury,mg/kg,0.03
Auckland Council,Auckland,Doc Island Mud,Manukau Harbour,-37.09253467,174.915943,1/01/2015,Zinc,mg/kg,49
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2021,Arsenic,mg/kg,10.6
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2021,Copper,mg/kg,6.1
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2021,Lead,mg/kg,9.6
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2021,Mercury,mg/kg,0.04
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2021,Zinc,mg/kg,66
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2021,Mud_content,%,44.3
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2021,Macrofauna,N/A,5.24
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2019,Arsenic,mg/kg,9.5
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2019,Copper,mg/kg,6.4
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2019,Lead,mg/kg,9.2
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2019,Mercury,mg/kg,0.04
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2019,Zinc,mg/kg,68
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2019,Mud_content,%,45.8
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2019,Macrofauna,N/A,5.06
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2017,Arsenic,mg/kg,12.6
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2017,Copper,mg/kg,7.3
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2017,Lead,mg/kg,10.6
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2017,Mercury,mg/kg,0.04
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2017,Zinc,mg/kg,71
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2017,Mud_content,%,59.4
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2017,Macrofauna,N/A,4.65
Auckland Council,Auckland,Drury Inner,Manukau Harbour,-37.08947529,174.9184198,1/01/2015,Arsenic,mg/kg,12.6
